Sample in Buffer,Sample in Window,TRIGGER,DMA_Custom/wr_index[2:0],DMA_Custom/Pose_Wr_Rst_Sync,DMA_Custom/w_brust_cnt[7:0],DMA_Custom/m_axi_awaddr[31:0],DMA_Custom/rd_index[2:0],DMA_Custom/m_axi_araddr[31:0],DMA_Custom/rd_base_addr[31:0],DMA_Custom/Rd_Rst_Sync_1,DMA_Custom/r_Rd_Rst_Sync[2:0],DMA_Custom/Ar_running,DMA_Custom/Aw_running,DMA_Custom/<const0>_1,DMA_Custom/<const0>_2,DMA_Custom/<const0>_3,DMA_Custom/<const0>_4,DMA_Custom/<const0>_5,DMA_Custom/<const0>_6,DMA_Custom/<const0>_7,DMA_Custom/Rd_Rst_Sync,DMA_Custom/<const0>_8,DMA_Custom/<const0>_9,DMA_Custom/<const0>_10,DMA_Custom/<const0>_11,DMA_Custom/<const0>_12,DMA_Custom/<const0>_13,DMA_Custom/<const0>
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,2,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,3,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,4,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,6,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,7,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,8,0,1,0,00,2995200,3,8294400,8294400,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
