Sample in Buffer,Sample in Window,TRIGGER,lane0_byte_data[7:0],lane1_byte_data[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,a9,70
1,1,0,6f,76
2,2,0,6f,3c
3,3,0,6f,77
4,4,0,71,76
5,5,0,c9,75
6,6,0,76,72
7,7,0,73,78
8,8,0,73,6d
9,9,0,71,71
10,10,0,a2,66
11,11,0,72,6c
12,12,0,77,6b
13,13,0,6e,6e
14,14,0,61,72
15,15,0,79,6a
16,16,0,6b,68
17,17,0,64,cf
18,18,0,67,69
19,19,0,6e,6d
20,20,0,b4,65
21,21,0,66,5e
22,22,0,64,34
23,23,0,66,69
24,24,0,66,64
25,25,0,24,5e
26,26,0,6b,66
27,27,0,64,52
28,28,0,67,68
29,29,0,5e,66
30,30,0,c4,60
31,31,0,6a,63
32,32,0,69,83
33,33,0,5c,5f
34,34,0,60,5f
35,35,0,27,5e
36,36,0,65,68
37,37,0,62,57
38,38,0,62,65
39,39,0,5f,63
40,40,0,63,68
41,41,0,62,61
42,42,0,6a,93
43,43,0,60,67
44,44,0,5d,66
45,45,0,52,64
46,46,0,63,61
47,47,0,68,c0
48,48,0,62,6d
49,49,0,66,6b
50,50,0,0c,68
51,51,0,6c,64
52,52,0,6a,dc
53,53,0,6c,61
54,54,0,68,6c
55,55,0,09,67
56,56,0,72,69
57,57,0,71,b8
58,58,0,6f,6f
59,59,0,6c,76
60,60,0,6e,6e
61,61,0,70,6f
62,62,0,72,32
63,63,0,6e,6e
64,64,0,69,73
65,65,0,f3,62
66,66,0,6c,6c
67,67,0,6d,ef
68,68,0,72,6e
69,69,0,6f,74
70,70,0,5c,68
71,71,0,70,6f
72,72,0,76,dd
73,73,0,6f,73
74,74,0,6f,72
75,75,0,6d,73
76,76,0,73,71
77,77,0,6d,ae
78,78,0,73,71
79,79,0,6d,76
80,80,0,69,77
81,81,0,74,6e
82,82,0,6f,f1
83,83,0,76,71
84,84,0,71,74
85,85,0,2a,70
86,86,0,6b,72
87,87,0,6f,25
88,88,0,70,70
89,89,0,74,78
90,90,0,51,74
91,91,0,77,6f
92,92,0,6b,24
93,93,0,71,6c
94,94,0,72,6b
95,95,0,44,6e
96,96,0,6c,70
97,97,0,77,24
98,98,0,6c,75
99,99,0,66,72
100,100,0,f8,6c
101,101,0,6d,6c
102,102,0,6d,dc
103,103,0,6f,6a
104,104,0,6a,6e
105,105,0,d7,66
106,106,0,6a,70
107,107,0,6f,0a
108,108,0,65,6d
109,109,0,6f,67
110,110,0,2f,6f
111,111,0,6f,66
112,112,0,68,d5
113,113,0,68,6a
114,114,0,61,70
115,115,0,49,64
116,116,0,66,69
117,117,0,67,95
118,118,0,6a,5f
